nose length,right_ear length,left_ear length,weight
0.354260619,0.538828802,0.543107266,1
0.348951539,0.542488741,0.545652903,1
0.345874765,0.54499376,0.542816061,1
0.336516912,0.538158549,0.533423479,1
0.336590616,0.533315712,0.536106533,1
0.343980064,0.531636849,0.545007132,1
0.363992141,0.547950943,0.559386718,1
0.350528053,0.538472657,0.559462516,1
0.345870302,0.538021515,0.552170207,1
0.351730691,0.545671082,0.55090449,1
0.349694905,0.541594148,0.544173391,1
0.358242375,0.546136098,0.554062,1
0.341594328,0.531216982,0.543238715,1
0.345430561,0.538023018,0.542705985,1
0.348100952,0.5391076,0.542609979,1
0.343682249,0.536138394,0.535344121,1
0.34904752,0.538255334,0.537465593,1
0.357471231,0.539103411,0.551875151,1
0.36143759,0.545219444,0.556613124,1
0.368157234,0.55131072,0.568242428,1
0.36659609,0.552181413,0.569641706,1
0.367691474,0.554606362,0.565306692,1
0.386510876,0.566716701,0.576791229,1
0.437160816,0.600956849,0.608089496,1
0.46869641,0.614711418,0.629642649,1
0.488650304,0.622922591,0.647951927,1
0.500811814,0.626766264,0.664811492,1
0.515260091,0.637964564,0.662739963,1
0.526076383,0.639225139,0.675742283,1
0.560221067,0.670387901,0.693279186,1
0.609728431,0.702872364,0.712239791,1
0.608191228,0.697963697,0.706128956,1
0.614738096,0.704097046,0.711404396,1
0.619761271,0.703006323,0.71233611,1
0.632452479,0.712675177,0.718644583,1
0.596207697,0.687500287,0.699250719,1
0.604587097,0.691190259,0.704567696,1
0.624314207,0.706111119,0.713432182,1
0.61697578,0.70278955,0.707133965,1
0.610088484,0.69236227,0.701957557,1
0.606072991,0.693671403,0.710830214,1
0.610221794,0.695884613,0.710642985,1
0.615804349,0.69928826,0.71162762,1
0.615008743,0.699668605,0.711600882,1
0.618396642,0.705508385,0.717146379,1
0.62066531,0.708380086,0.71733246,1
0.615955852,0.703606012,0.71340171,1
0.609709123,0.712579,0.718658408,1
0.596191445,0.711278769,0.71756699,1
0.586713786,0.703628305,0.711556357,1
0.584530316,0.700636228,0.711116061,1
0.585195589,0.700729531,0.712791736,1
0.586676434,0.701586247,0.713240615,1
0.58386849,0.699747528,0.70973435,1
0.585767264,0.695137806,0.711873169,1
0.586027952,0.695214947,0.71185285,1
0.588209581,0.69587106,0.712755336,1
0.587939799,0.695537476,0.714013789,1
0.585006211,0.688770465,0.71229092,1
0.585822162,0.68946727,0.713946514,1
0.585705416,0.688101148,0.712762808,1
0.590477244,0.688991602,0.714582102,1
0.589337858,0.68810735,0.712856426,1
0.584570961,0.685318529,0.710130584,1
0.587550676,0.688188971,0.712129352,1
